PRODUCT,URL,PRICE,COMPARE_AT_PRICE,STOCK,CATEGORY,PRODUCTNO,BARCODE,WEIGHT,WEIGHT_UNIT,REQUIRES_SHIPPING,TAXABLE,VENDOR,TAGS,PUBLISHED_AT,CREATED_AT,UPDATED_AT,DESCRIPTION,IMGURL,IMAGE_FILENAME
Kokedama Aglaonema Snow White - Velká,https://dmp.cz//products/kokedama-aglaonema-snow-white-1,899.00,0.00,Yes,Rostlina,,,,,Yes,Yes,DMP,"20 - 40 cm, Aglaonema, Kokedamy, Málo, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Tip na dárek, Vyrobeno v DMP, Čističky vzduchu",2024-09-17T11:12:19+02:00,2024-09-17T10:19:30+02:00,2024-11-13T15:24:34+01:00,"






Výroba kokedam trvá 5-7 dní, počítejte s drobným zpožděním vaší objednávky.
Kokedama je speciální způsob pěstování rostlin, v doslovném překladu ""mechová koule"" pocházející z Japonska. Kokedama se skládá z rostliny, speciálního substrátu (černý jíl ketotsuchi), do jílu se navíc přimíchávají další složky (Akadama, zeolit, pemza, písek a rašeliník). Z těchto materiálů se dokonale zabalí vhodná rostlina do ""koule"" a celá se obalí mechem. Tradičně se kokedamy zavěšují na provázek, macramé a nebo se pokládají na vlhké kamínky či jiný materiál.
Péče o kokedamu
O každou kokedamu pečujeme podle toho, jakou rostlinu v ní máme. Kokedamu zaléváme odstátou / převařenou vodou přibližně 1x týdně. Kokedamě vadí chlór, nedoporučujeme vodu přímo z kohoutku. Kokedamu stačí na pár minut položit do vody, nechat okapat a znovu zavěsit. Zda potřebuje zalít poznáte podle váhy kokedamy a také podle toho, že vám usychá mechový bal. Mechovou kouli můžete rosit, aby byl mechový bal stále vlhký. Kokedamu se nedoporučuje umisťovat na přímé slunce.








Aglaonema Snow White je atraktivní pokojová rostlina s výraznými listy v kontrastní kombinaci bílé a zelené barvy. Je oblíbená pro svou nenáročnost a schopnost přizpůsobit se různým světelným podmínkám, což ji činí ideálním doplňkem pro jakýkoli interiér.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: Ne








Přibližná výška kokedamy: 35 cmPrůměr kokedamy: Ø 13 cmObsah balení: Kokedama, hotové macramé na zavěšeníVyrobeno s láskou v DMP.
Více o kokedamách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Kokedama-Aglaonema-Snow-White.jpg?v=1726561342,
Kokedama Aglaonema Silver Queen - Velká,https://dmp.cz//products/kokedama-aglaonema-silver-queen,749.00,0.00,Yes,Rostlina,,,,,Yes,Yes,DMP,"20 - 40 cm, Aglaonema, Kokedamy, Málo, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Tip na dárek, Vyrobeno v DMP, Čističky vzduchu",2024-09-17T11:07:45+02:00,2024-09-17T10:17:09+02:00,2024-11-13T15:24:34+01:00,"






Výroba kokedam trvá 5-7 dní, počítejte s drobným zpožděním vaší objednávky.
Kokedama je speciální způsob pěstování rostlin, v doslovném překladu ""mechová koule"" pocházející z Japonska. Kokedama se skládá z rostliny, speciálního substrátu (černý jíl ketotsuchi), do jílu se navíc přimíchávají další složky (Akadama, zeolit, pemza, písek a rašeliník). Z těchto materiálů se dokonale zabalí vhodná rostlina do ""koule"" a celá se obalí mechem. Tradičně se kokedamy zavěšují na provázek, macramé a nebo se pokládají na vlhké kamínky či jiný materiál.
Péče o kokedamu
O každou kokedamu pečujeme podle toho, jakou rostlinu v ní máme. Kokedamu zaléváme odstátou / převařenou vodou přibližně 1x týdně. Kokedamě vadí chlór, nedoporučujeme vodu přímo z kohoutku. Kokedamu stačí na pár minut položit do vody, nechat okapat a znovu zavěsit. Zda potřebuje zalít poznáte podle váhy kokedamy a také podle toho, že vám usychá mechový bal. Mechovou kouli můžete rosit, aby byl mechový bal stále vlhký. Kokedamu se nedoporučuje umisťovat na přímé slunce.








Aglaonema Silver Queen je elegantní pokojová rostlina s listy v kombinaci stříbrných a zelených odstínů. Je ceněná pro svou nenáročnost na péči a schopnost přizpůsobit se různým světelným podmínkám, což z ní dělá ideální volbu pro oživení interiérů.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: Ne








Přibližná výška kokedamy: 35 cmPrůměr kokedamy: Ø 13 cmObsah balení: Kokedama, hotové macramé na zavěšeníVyrobeno s láskou v DMP.
Více o kokedamách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Kokedama-Aglaonema-Silver-Queen.jpg?v=1726561140,
Kokedama Aglaonema Siam Aurora Pink - Velká,https://dmp.cz//products/kokedama-aglaonema-siam-aurora-pink,849.00,0.00,Yes,Rostlina,,,,,Yes,Yes,DMP,"20 - 40 cm, Aglaonema, Kokedamy, Málo, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Tip na dárek, Vyrobeno v DMP, Čističky vzduchu",2024-09-17T11:06:09+02:00,2024-09-17T09:58:37+02:00,2024-11-13T15:24:34+01:00,"






Výroba kokedam trvá 5-7 dní, počítejte s drobným zpožděním vaší objednávky.
Kokedama je speciální způsob pěstování rostlin, v doslovném překladu ""mechová koule"" pocházející z Japonska. Kokedama se skládá z rostliny, speciálního substrátu (černý jíl ketotsuchi), do jílu se navíc přimíchávají další složky (Akadama, zeolit, pemza, písek a rašeliník). Z těchto materiálů se dokonale zabalí vhodná rostlina do ""koule"" a celá se obalí mechem. Tradičně se kokedamy zavěšují na provázek, macramé a nebo se pokládají na vlhké kamínky či jiný materiál.
Péče o kokedamu
O každou kokedamu pečujeme podle toho, jakou rostlinu v ní máme. Kokedamu zaléváme odstátou / převařenou vodou přibližně 1x týdně. Kokedamě vadí chlór, nedoporučujeme vodu přímo z kohoutku. Kokedamu stačí na pár minut položit do vody, nechat okapat a znovu zavěsit. Zda potřebuje zalít poznáte podle váhy kokedamy a také podle toho, že vám usychá mechový bal. Mechovou kouli můžete rosit, aby byl mechový bal stále vlhký. Kokedamu se nedoporučuje umisťovat na přímé slunce.




Aglaonema Siam Aurora Pink je okouzlující pokojová rostlina s výraznými listy, které kombinují sytě zelenou a zářivě růžovou barvu. Je známá svou nenáročností a schopností prospívat i při slabším světle, což z ní dělá skvělý doplněk do moderních interiérů.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: Ne




Přibližná výška kokedamy: 35 cmPrůměr kokedamy: Ø 13 cmObsah balení: Kokedama, hotové macramé na zavěšeníVyrobeno s láskou v DMP.
Více o kokedamách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Kokedama-Aglaonema-Siam-Aurora-Pink.jpg?v=1726560043,
Kokedama Aglaonema Lemon Lime - Velká,https://dmp.cz//products/kokedama-aglaonema-lemon-lime,799.00,0.00,Yes,Rostlina,,,,,Yes,Yes,DMP,"20 - 40 cm, Aglaonema, Kokedamy, Málo, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Tip na dárek, Vyrobeno v DMP, Čističky vzduchu",2024-09-17T10:59:36+02:00,2024-09-17T09:47:19+02:00,2024-11-13T15:24:34+01:00,"Výroba kokedam trvá 5-7 dní, počítejte s drobným zpožděním vaší objednávky.
Kokedama je speciální způsob pěstování rostlin, v doslovném překladu ""mechová koule"" pocházející z Japonska. Kokedama se skládá z rostliny, speciálního substrátu (černý jíl ketotsuchi), do jílu se navíc přimíchávají další složky (Akadama, zeolit, pemza, písek a rašeliník). Z těchto materiálů se dokonale zabalí vhodná rostlina do ""koule"" a celá se obalí mechem. Tradičně se kokedamy zavěšují na provázek, macramé a nebo se pokládají na vlhké kamínky či jiný materiál.
Péče o kokedamu
O každou kokedamu pečujeme podle toho, jakou rostlinu v ní máme. Kokedamu zaléváme odstátou / převařenou vodou přibližně 1x týdně. Kokedamě vadí chlór, nedoporučujeme vodu přímo z kohoutku. Kokedamu stačí na pár minut položit do vody, nechat okapat a znovu zavěsit. Zda potřebuje zalít poznáte podle váhy kokedamy a také podle toho, že vám usychá mechový bal. Mechovou kouli můžete rosit, aby byl mechový bal stále vlhký. Kokedamu se nedoporučuje umisťovat na přímé slunce.




Aglaonema Lemon Lime zaujme svými zářivými listy v odstínech žluté, světle zelené a tmavší zelené. Tato dekorativní pokojová rostlina je nenáročná na péči a skvěle prospívá i při slabším osvětlení, což ji činí perfektním doplňkem do interiérů.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: Ne




Přibližná výška kokedamy: 35 cmPrůměr kokedamy: Ø 13 cmObsah balení: Kokedama, hotové macramé na zavěšeníVyrobeno s láskou v DMP.
Více o kokedamách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Kokedama-Aglaonema-Lemon-Lime.jpg?v=1726559646,
Kokedama Aglaonema Cutlass - Velká,https://dmp.cz//products/kokedama-aglaonema-cutlass,749.00,0.00,Yes,Rostlina,,,,,Yes,Yes,DMP,"20 - 40 cm, Aglaonema, Kokedamy, Málo, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Tip na dárek, Vyrobeno v DMP, Čističky vzduchu",2024-09-17T10:58:18+02:00,2024-09-17T09:35:02+02:00,2024-11-13T15:24:34+01:00,"Výroba kokedam trvá 5-7 dní, počítejte s drobným zpožděním vaší objednávky.
Kokedama je speciální způsob pěstování rostlin, v doslovném překladu ""mechová koule"" pocházející z Japonska. Kokedama se skládá z rostliny, speciálního substrátu (černý jíl ketotsuchi), do jílu se navíc přimíchávají další složky (Akadama, zeolit, pemza, písek a rašeliník). Z těchto materiálů se dokonale zabalí vhodná rostlina do ""koule"" a celá se obalí mechem. Tradičně se kokedamy zavěšují na provázek, macramé a nebo se pokládají na vlhké kamínky či jiný materiál.
Péče o kokedamu
O každou kokedamu pečujeme podle toho, jakou rostlinu v ní máme. Kokedamu zaléváme odstátou / převařenou vodou přibližně 1x týdně. Kokedamě vadí chlór, nedoporučujeme vodu přímo z kohoutku. Kokedamu stačí na pár minut položit do vody, nechat okapat a znovu zavěsit. Zda potřebuje zalít poznáte podle váhy kokedamy a také podle toho, že vám usychá mechový bal. Mechovou kouli můžete rosit, aby byl mechový bal stále vlhký. Kokedamu se nedoporučuje umisťovat na přímé slunce.
Aglaonema Cutlass je elegantní pokojová rostlina s úzkými, svěže zelenými listy zdobenými stříbrnými pruhy. Je nenáročná na péči a dobře se přizpůsobuje různým světelným podmínkám, což z ní dělá ideální volbu pro domácnosti i kanceláře.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: Ne
Přibližná výška kokedamy: 35 cmPrůměr kokedamy: Ø 13 cmObsah balení: Kokedama, hotové macramé na zavěšeníVyrobeno s láskou v DMP.
Více o kokedamách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Kokedama-Aglaonema-Cutlass.jpg?v=1726558621,
Aglaonema Silver Bay 'S' - 12 cm,https://dmp.cz//products/aglaonema-silver-bay-m,999.00,,Yes,Rostlina,MM-SILVER-BAY-12,,,,Yes,Yes,DMP,"12 cm, 20 - 40 cm, Aglaonema, Aroid, Dostupné na prodejně, novinka, Pro začátečníky, propojeni, Rostlina, Skladem, Středně, Čističky vzduchu",2024-09-13T12:48:07+02:00,2024-09-13T11:41:59+02:00,2024-11-13T15:24:34+01:00,"Balení obsahuje rostlinu v plastovém květináči.
O rostlině:Aglaonema Silver Bay, česky známá jako Aglaonema, patří do čeledi áronovitých a zahrnuje několik druhů dekorativních rostlin pocházejících z tropických oblastí Asie. Tento vytrvalý druh je ceněný pro své široké, oválné listy se stříbrným panašováním, které jsou lemovány tmavě zeleným okrajem. Stonek rostliny postupně dřevnatí, zatímco nové výhonky jsou obvykle světle zelené a hladké. Aglaonema Silver Bay se dobře tvaruje a je ideální pro pěstování v interiéru, kde se přizpůsobuje nižší hladině světla. Díky své nenáročnosti a atraktivnímu vzhledu je oblíbenou volbou pro oživení domácích i kancelářských prostor.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: AnoVhodná pro kokedamu: Ano
Přibližná výška rostliny s květináčem: 25 cmPrůměr květináče: 12 cm
Každá rostlina je jiná, stejně jako my lidé. Prosím, počítejte s možnou odchylkou vzhledu oproti produktové fotce.
Více o aglaonemách jsme napsali v našem článku.




Přelití: Příliš mnoho vody může způsobit uhnívání kořenů, žloutnutí a opadávání listů.
Hnědnutí okrajů listů, pokroucení: Chlad a průvan. 
Uschlé listy, hnědnutí jejich špiček: Příliš suchý vzduch. 
Hnědé skvrny na listech: Spálení listů od přímého slunce. 
Svilušky (při nadmíře světla), červci, mšice, štítenky: Řešíme speciálními postřiky.




",https://cdn.shopify.com/s/files/1/0273/3716/2865/files/Aglaonema-Silver-Bay-M.jpg?v=1726220637,
Aglaonema Red Zircon 'baby' - 6 cm,https://dmp.cz//products/aglaonema-red-zircon,249.00,,No,Rostlina,MM-LUN71,,,,Yes,Yes,DMP,"6 cm, Aglaonema, Aroid, Baby pokojovky, Nesdílené, Panašované rostliny, Pro začátečníky, propojeni, Rostlina, Středně, Tip na dárek, Vyprodáno, Čističky vzduchu",2022-10-14T15:02:02+02:00,2021-04-14T18:23:00+02:00,2024-11-13T15:24:34+01:00,"Balení obsahuje rostlinu v plastovém květináči.
O rostlině:Aglaonema (také Chinese evergreen – čínská stálezelená rostlina) je kopinatá rostlina okrasná svými krásně zbarvenými listy, které vyrůstají v trsech, pocházející z oblasti jihovýchodní Asie. V létě se může u rostliny objevit jemné květenství žlutých nebo bílých toulců, které se po odkvětu mohou změnit v jedovaté bobule. 
Aglaonema Red Zircon zaujme svými listy, které jsou zbarvené do několika odstínů růžové a působí velmi něžným dojmem.
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: AnoVhodná pro kokedamu: Ano
Přibližná výška rostliny s květináčem: 25 cmPrůměr květináče: 6 cm
Každá rostlina je jiná, stejně jako my lidé. Prosím, počítejte s možnou odchylkou vzhledu oproti produktové fotce.
Více o aglaonemách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/products/aglaonema-red-zircon-baby-01.jpg?v=1668385242,
Aglaonema Crete - 12 cm,https://dmp.cz//products/aglaonema-crete-12cm,529.00,,No,Rostlina,MM-DUY9,,,,Yes,Yes,DMP,"12 cm, 20 - 40 cm, Aglaonema, Aroid, Panašované rostliny, Pro začátečníky, propojeni, Rostlina, Středně, Tip na dárek, Vyprodáno, Čističky vzduchu",2020-08-27T19:04:51+02:00,2020-08-27T14:01:06+02:00,2024-11-13T15:24:34+01:00," 
Balení obsahuje rostlinu v plastovém květináči.
O rostlině:Aglaonema nazývaná jako „spící panna“ nebo Chinese evergreen plant je vytrvalá bylina z rodu áronovitých obvykle se skvrnitými kopinatými listy (nejčastěji bílo-zelenými nebo červeno-zelenými). Druh Aglaonema commutatum Crete je specifický svými zelenými listy s rudým lemováním.Má drobné květy a jejím plodem jsou jedovaté bobule. Pochází ze stinných tropických pralesů jihovýchodní Asie. S květy se u této pokojové rostliny setkáme pouze v létě a jejich barva je bílá nebo žlutá. V domorodých podmínkách má svůj význam i v medicíně, protože je podáván k zevnímu ošetření různých hmyzích bodnutí, uštknutí hadů nebo vředů.Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: AnoVhodná pro kokedamu: Ano
Přibližná výška rostliny s květináčem: 25 cmPrůměr květináče: 12 cm
Každá rostlina je jiná, stejně jako my lidé. Prosím, počítejte s možnou odchylkou vzhledu oproti produktové fotce.
Více o aglaonemách jsme napsali v našem článku.
",https://cdn.shopify.com/s/files/1/0273/3716/2865/products/aglaonema-crete-12cm-01.jpg?v=1675854632,
Aglaonema Maria 'S' - 14 cm,https://dmp.cz//products/aglaonema-maria-s-12cm,799.00,,No,Rostlina,MM-MEC-0276,,,,Yes,Yes,DMP,"14 cm, 20 - 40 cm, Aglaonema, Aroid, Pro začátečníky, propojeni, Rostlina, Středně, Vyprodáno, Čističky vzduchu",2021-01-13T19:20:02+01:00,2021-01-13T14:06:17+01:00,2024-11-13T15:24:34+01:00," 
Balení obsahuje rostlinu v plastovém květináči.
O rostlině:Aglaonema nazývaná jako „spící panna“ nebo Chinese evergreen plant je vytrvalá bylina z rodu áronovitých obvykle se skvrnitými kopinatými listy (nejčastěji bílo-zelenými nebo červeno-zelenými). Druh Aglaonema Maria má zeleno stříbřité listy rostoucí na rozdíl od druhu Maria Christina spíše do šířky. 
Má drobné květy a jejím plodem jsou jedovaté bobule. Pochází ze stinných tropických pralesů jihovýchodní Asie. S květy se u této pokojové rostliny setkáme pouze v létě a jejich barva je bílá nebo žlutá. V domorodých podmínkách má svůj význam i v medicíně, protože je podáván k zevnímu ošetření různých hmyzích bodnutí, uštknutí hadů nebo vředů. 
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: AnoVhodná pro kokedamu: Ano
Přibližná výška rostliny s květináčem: 40 cmPrůměr květináče: 14 cm
Každá rostlina je jiná, stejně jako my lidé. Prosím, počítejte s možnou odchylkou vzhledu oproti produktové fotce.
Více o aglaonemách jsme napsali v našem článku.




Přelití: Příliš mnoho vody může způsobit uhnívání kořenů, žloutnutí a opadávání listů.
Hnědnutí okrajů listů, pokroucení: Chlad a průvan. 
Uschlé listy, hnědnutí jejich špiček: Příliš suchý vzduch. 
Hnědé skvrny na listech: Spálení listů od přímého slunce. 
Svilušky (při nadmíře světla), červci, mšice, štítenky: Řešíme speciálními postřiky.




",https://cdn.shopify.com/s/files/1/0273/3716/2865/products/aglaonema-maria-12cm-01.jpg?v=1687330106,
Aglaonema Cutlass - 14 cm,https://dmp.cz//products/aglaonema-cutlass-14cm,659.00,,No,Rostlina,MM-JOGR153,,,,Yes,Yes,DMP,"14 cm, 40 - 60 cm, Aglaonema, Aroid, Pro začátečníky, propojeni, Rostlina, Středně, Vyprodáno, Čističky vzduchu",2021-01-13T19:20:01+01:00,2021-01-13T13:29:36+01:00,2024-11-13T15:24:34+01:00,"
Balení obsahuje rostlinu v plastovém květináči.
O rostlině:Agalonema nazývaná jako „spící panna“ nebo Chinese evergreen plant je vytrvalá bylina z rodu áronovitých obvykle se skvrnitými kopinatými listy (nejčastěji bílo-zelenými nebo červeno-zelenými). Název Cutlass v angličtině znamená šavle, pojmenování má tedy kvůli tvaru dlouhých žíhaných listů, které ji připomínají. 
Má drobné květy a jejím plodem jsou jedovaté bobule. Pochází ze stinných tropických pralesů jihovýchodní Asie. S květy se u této pokojové rostliny setkáme pouze v létě a jejich barva je bílá nebo žlutá. V domorodých podmínkách má svůj význam i v medicíně, protože je podáván k zevnímu ošetření různých hmyzích bodnutí, uštknutí hadů nebo vředů. 
Náročnost: Pro začátečníkyČistí vzduch: AnoVhodná k mazlíčkům: NeVhodná pro hydroponii: AnoVhodná pro kokedamu: Ano
Přibližná výška rostliny s květináčem: 45 cm Průměr květináče: 14 cm
Každá rostlina je jiná, stejně jako my lidé. Prosím, počítejte s možnou odchylkou vzhledu oproti produktové fotce.
Více o aglaonemách jsme napsali v našem článku.",https://cdn.shopify.com/s/files/1/0273/3716/2865/products/aglaonema-cutlass-12cm-01.jpg?v=1671631713,
