PRODUCT,URL,PRICE,COMPARE_AT_PRICE,STOCK,CATEGORY,PRODUCTNO,BARCODE,WEIGHT,WEIGHT_UNIT,REQUIRES_SHIPPING,TAXABLE,VENDOR,TAGS,PUBLISHED_AT,CREATED_AT,UPDATED_AT,DESCRIPTION,IMGURL,IMAGE_FILENAME
Tilandsie Medusa - Default Title,https://www.pokojovky.co//products/tilandsie-medusa,150.00,,No,airplants,"A: Tillandsia medusa, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"airplants, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, Minipokojovka, nizkanarocnost, petfriendly, posilame, svetlemisto, zacatecnici",2022-07-27T14:44:09+02:00,2017-12-04T13:57:56+01:00,2024-11-13T16:12:49+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/pokojovky_igorzacharov_20211111__DSF5009-Edit.jpg?v=1636901367,pokojovky_igorzacharov_20211111__DSF5009-Edit.jpg
Tilandsie Ionantha Silver růžová - Default Title,https://www.pokojovky.co//products/tilandsie,150.00,,No,airplants,"A: Tillandsia lonantha 'Pink Beauty', B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"airplants, deti-a-zvirata, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, Minipokojovka, Nepřímé světlo, Novinka, Pokojovky, Pokojovky na zaslání, Pro začátečníky, Tilandsie, valentyn, Vhodné pro zvířata, zacatecnici",2022-09-29T11:58:34+02:00,2018-06-14T15:52:35+02:00,2024-11-13T16:12:49+01:00,"
Botanický název: Tillandsia Ionantha Silver
Běžný název: air plant
Exotické airplants jsou tak trochu hříčka přírody. Jsou nevšední, křehké a je s nimi minimum práce. Díky jejich schopnosti růst jen ze světla a vody si je můžete naaranžovat prakticky kamkoliv a při správné péči vám vydrží i několik desítek let. I když jich existuje nespočet druhů, nás baví tato růžovo-zelená, vlasatá Tilandsia Lonantha Silver. 
 
Náročnost: nízká
Velikost: 10-15 cm
 

Balení obsahuje
- Zdravou rostlinku- Rostlinkový návod 
 
Péče
Světlo: Světlé bez přímého slunce.

Voda: Jednou za týden ponořte do odstáté/dešťové vody na hodinu nebo roste (3-4 x týdně, obzvlášť v létě). Existují dva druhy tillandsií (stříbrné s chloupky - trichomy, či zelené bez chloupků). Zelené tillandsie koupejte 2x týdně, či téměř denně roste.
Teplota: pokojová teplota, v zimě by neměla klesnout pod 15 °C.
Vzdušná vlhkost: především v létě je vhodné rosit rozprašovačem.
Příznaky smutné rostlinky:Osychání konečků listů - je způsobeno malou vzdušnou vlhkostí, ale může to být také běžný projev stárnutí rostliny. Je možné tyto suché části ostříhat.",https://cdn.shopify.com/s/files/1/2581/0526/products/IMG_8325.heic?v=1675769027,IMG_8325.heic
Tilandsie Capitata - Default Title,https://www.pokojovky.co//products/tillandsie-capitata,150.00,,No,airplants,"A: Tillandsia capitata, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"airplants, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, Minipokojovka, nizkanarocnost, petfriendly, posilame, svetlemisto, zacatecnici",2023-10-27T15:28:15+02:00,2018-06-14T16:11:30+02:00,2024-11-13T16:12:49+01:00,"
Botanický název: Tillandsia capitata
Běžný název: air plant
Exotické airplants jsou tak trochu hříčka přírody. Jsou nevšední, křehké a je s nimi minimum práce. Díky jejich schopnosti růst jen ze světla a vody si je můžete naaranžovat prakticky kamkoliv a při správné péči vám vydrží i několik desítek let. I když jich existuje nespočet druhů, nás baví tato svěže zelená, drobnější Tilandsie Capitata. 
Náročnost: nízká
Velikost: 5-7 cm
 
Balení obsahuje
- Zdravou rostlinku- Rostlinkový návod 
 
Péče
Světlo: Světlé bez přímého slunce.

Voda: Jednou za týden ponořte do odstáté/dešťové vody na hodinu nebo roste (3-4 x týdně, obzvlášť v létě). Existují dva druhy tillandsií (stříbrné s chloupky - trichomy, či zelené bez chloupků). Zelené tillandsie koupejte 2x týdně, či téměř denně roste.
Teplota: pokojová teplota, v zimě by neměla klesnout pod 15 °C.
Vzdušná vlhkost: především v létě je vhodné rosit rozprašovačem.
Příznaky smutné rostlinky:Osychání konečků listů - je způsobeno malou vzdušnou vlhkostí, ale může to být také běžný projev stárnutí rostliny. Je možné tyto suché části ostříhat.",https://cdn.shopify.com/s/files/1/2581/0526/products/IMG_4573_portfolio_igorzacharov.jpg?v=1556883644,IMG_4573_portfolio_igorzacharov.jpg
Tilandsie Ionantha Silver - Default Title,https://www.pokojovky.co//products/tilandsie-ionantha-silver,150.00,,No,airplants,"A: Tillandsia lonantha Silver, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"airplants, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, Minipokojovka, nizkanarocnost, petfriendly, posilame, svetlemisto, zacatecnici",2023-10-27T15:29:48+02:00,2020-03-21T09:32:33+01:00,2024-11-13T16:12:49+01:00,"
Botanický název: Tillandsia Ionantha Silver
Běžný název: air plant
Exotické airplants jsou tak trochu hříčka přírody. Jsou nevšední, křehké a je s nimi minimum práce. Díky jejich schopnosti růst jen ze světla a vody si je můžete naaranžovat prakticky kamkoliv a při správné péči vám vydrží i několik desítek let. I když jich existuje nespočet druhů, nás baví tato stříbřitě zelená, vlasatá Tilandsia Lonantha Silver. 
 
Náročnost: nízká
Velikost: 10-15 cm
 

Balení obsahuje
- Zdravou rostlinku- Rostlinkový návod 
 
Péče
Světlo: Světlé bez přímého slunce.

Voda: Jednou za týden ponořte do odstáté/dešťové vody na hodinu nebo roste (3-4 x týdně, obzvlášť v létě). Existují dva druhy tillandsií (stříbrné s chloupky - trichomy, či zelené bez chloupků). Zelené tillandsie koupejte 2x týdně, či téměř denně roste.
Teplota: pokojová teplota, v zimě by neměla klesnout pod 15 °C.
Vzdušná vlhkost: především v létě je vhodné rosit rozprašovačem.
Příznaky smutné rostlinky:Osychání konečků listů - je způsobeno malou vzdušnou vlhkostí, ale může to být také běžný projev stárnutí rostliny. Je možné tyto suché části ostříhat.",https://cdn.shopify.com/s/files/1/2581/0526/products/IMG_4555_portfolio_igorzacharov_79ed2cea-363d-465e-a520-503f3dfefccd.jpg?v=1584779555,IMG_4555_portfolio_igorzacharov_79ed2cea-363d-465e-a520-503f3dfefccd.jpg
Tilandsie Bulbosa - Default Title,https://www.pokojovky.co//products/tilandsie-bulbosa,150.00,,No,airplants,"A: Tillandsia bulbosa, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"airplants, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, Minipokojovka, Nepřímé světlo, Novinka, Pokojovky, Pokojovky na zaslání, Tilandsie, Vhodné pro zvířata, zacatecnici",2023-10-27T15:31:08+02:00,2017-12-04T14:35:27+01:00,2024-11-13T16:12:49+01:00,"Exotické airplants jsou tak trochu hříčka přírody. Jsou nevšední, křehké a je s nimi minimum práce. Díky jejich schopnosti růst jen ze světla a vody si je můžete naaranžovat prakticky kamkoliv a při správné péči vám vydrží i několik desítek let. Troufnete si na tuhle extravagantní krásku? 
Náročnost: nízká
Velikost: 10 - 15 cm
Balení obsahuje i rostlinkový návod.
 

PÉČE
Světlo: Světlé bez přímého slunce.
Voda: jednou za týden ponořit do odstáté/dešťové vody na 30 minut.
Voda: jednou za týden ponořit do odstáté/dešťové vody na 30 minut.
Teplota: pokojová teplota, v zimě by neměla klesnout pod 15 °C.
Vzdušná vlhkost: především v létě je vhodné rosit rozprašovačem.
Příznaky smutné rostlinky:Osychání konečků listů - je způsobeno malou vzdušnou vlhkostí, ale může to být také běžný projev stárnutí rostliny. Je možné tyto suché části ostříhat.",https://cdn.shopify.com/s/files/1/2581/0526/products/IMG_0542.jpg?v=1512394530,IMG_0542.jpg
Sada tilandsie v teráriu - Default Title,https://www.pokojovky.co//products/sada-tilandsie-v-terariu,490.00,,No,airplants,"A: Tillandsia bulbosa, B: CZ-1726, C: CZ-5665",,,,Yes,Yes,Pokojovky,"300-500, airplants, cesky, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, Minipokojovka, Nepřímé světlo, Novinka, Pokojovky, pro-radost, pro_ještě_větší_radost, Tilandsie, Vhodné pro zvířata, zacatecnici, Zelenevanoce",2023-11-22T13:32:13+01:00,2021-11-11T17:28:05+01:00,2024-11-13T16:12:49+01:00,"
 Oblíbené airplant pokojovky v designovém, ručně foukaném terárium.
 
O tilandsii
Exotické airplants jsou tak trochu hříčka přírody. Jsou nevšední, křehké a je s nimi minimum práce. Díky jejich schopnosti růst jen ze světla a vody si je můžete naaranžovat prakticky kamkoliv a při správné péči vám vydrží i několik desítek let. 
 
O teráriu
Naše terárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák. 

 ",https://cdn.shopify.com/s/files/1/2581/0526/products/pokojovky_igorzacharov_20211111__DSF4970.jpg?v=1636901411,pokojovky_igorzacharov_20211111__DSF4970.jpg
Skleněné terárium - Default Title,https://www.pokojovky.co//products/sklenene-terarium,390.00,,Yes,airplants,,,,,Yes,Yes,Pokojovky,"airplants, cesky, Novinka, Praktické-kousky, pro-radost, rasokoule, Tilandsie, Zelenevanoce",2023-11-22T13:27:10+01:00,2023-11-22T13:16:04+01:00,2024-11-13T16:12:49+01:00,"
 ",https://cdn.shopify.com/s/files/1/2581/0526/files/igorzacharov_20231106__DSF6243.jpg?v=1700655958,igorzacharov_20231106__DSF6243.jpg
Malá sada akvárium a řasokoule - Default Title,https://www.pokojovky.co//products/copy-of-sada-terarium-m-a-rasokoule,450.00,,Yes,Řasokoule,"A: Cladophora aegagropila, B: CZ-1726, C: CZ-5665",,,,Yes,Yes,Pokojovky,"300-500, Akvária a terária, cesky, nizkanarocnost, pro-radost, pro_ještě_větší_radost, Sady, Tilandsie, Zelené sady, Řasokoule",2023-10-30T16:03:37+01:00,2020-10-27T12:06:26+01:00,2024-11-13T16:12:49+01:00,"Zvýhodněná sada akvária velikosti S a 1 řasokoule.
Naše akvárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
 
V sadě najdete
1 řasokoule velikosti S (2–3 cm)
1 skleněné akvárium by Lukáš Novák (8 cm)
návod a povídání o řasokouli pro budoucího majitele
 
Péče o řasokoule
Světlo: světlé i tmavé místo bez přímého slunce.
Voda: studená odstátá voda, 1x za 10-14 dní vyměnit, v létě měníme častěji.
Teplota: řasokoule je velmi odolná, co se teploty týče. Udává se, že by měla být spokojená v rozmezí teplot 5-25 °C.
Množení: v přirozeném prostředí se množí dělením.
Další péče: občas pootočit, pro stále kulatý tvar koulet mezi dlaněmi pod kohoutkovou vodou. Odstraníte tak z kouličky nečistoty a také jim to simuluje koulení po dně jezera.
Příznaky smutné pokojovky:
Koulička má hnědé skvrnky – spálení od paprsků slunce.Změnila barvu – nejčastěji způsobuje nedostatečná péče, zkuste měnit vodu častěji nebo ji přesuňte na chladnější místo. Můžete ji také obzvlášť během letních měsíců umisťovat do lednice, kde je chladněji a občas ji umístit opět na světlo.


Pokud se rozhodnete darovat set později než pár dní od přijetí našeho balíčku, nezapomeňte řasokoule vysvobodit z dárkové krabičky a vložit je do vody!",https://cdn.shopify.com/s/files/1/2581/0526/products/X_thOThA.jpg?v=1636638734,X_thOThA.jpg
Akvárium S by Lukáš Novák - Default Title,https://www.pokojovky.co//products/terarium-s-by-lukas-novak,390.00,,Yes,Řasokoule,,,,,Yes,Yes,Pokojovky,"Akvária a terária, cesky, Tilandsie, Zelenevanoce, Řasokoule",2023-10-30T15:57:27+01:00,2020-10-15T13:04:49+02:00,2024-11-13T16:12:49+01:00,"Naše terárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
Velikost: 8 cm
Nádobu dodáváme v dárkové krabičce.",https://cdn.shopify.com/s/files/1/2581/0526/products/AkUnyulg.jpg?v=1636639120,AkUnyulg.jpg
Střední sada akvárium a řasokoule - Default Title,https://www.pokojovky.co//products/sada-terarium-m-a-rasokoule,650.00,,Yes,Řasokoule,"A: Cladophora aegagropila, B: CZ-1726, C: CZ-5665",,,,Yes,Yes,Pokojovky,"500-1000, Akvária a terária, cesky, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, pro-radost, pro_ještě_větší_radost, rasokoule, Sady, Tilandsie, valentyn, zacatecnici, Zelené sady",2023-10-30T16:04:46+01:00,2020-10-27T11:56:43+01:00,2024-11-13T16:12:49+01:00,"Zvýhodněná sada akvária velikosti M a dvou řasokoulí.
Naše akvária jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
  
V sadě najdete
2 řasokoule velikosti S (2–3 cm)
1 skleněné akvárium by Lukáš Novák (10 cm)
návod a povídání o řasokouli pro budoucího majitele
 
Péče o řasokoule
Světlo: světlé i tmavé místo bez přímého slunce.
Voda: studená odstátá voda, 1x za 10-14 dní vyměnit, v létě měníme častěji.
Teplota: řasokoule je velmi odolná, co se teploty týče. Udává se, že by měla být spokojená v rozmezí teplot 5-25 °C.
Množení: v přirozeném prostředí se množí dělením.
Další péče: občas pootočit, pro stále kulatý tvar koulet mezi dlaněmi pod kohoutkovou vodou. Odstraníte tak z kouličky nečistoty a také jim to simuluje koulení po dně jezera.
Příznaky smutné pokojovky:
Koulička má hnědé skvrnky – spálení od paprsků slunce.Změnila barvu – nejčastěji způsobuje nedostatečná péče, zkuste měnit vodu častěji nebo ji přesuňte na chladnější místo. Můžete ji také obzvlášť během letních měsíců umisťovat do lednice, kde je chladněji a občas ji umístit opět na světlo.


Pokud se rozhodnete darovat set později než pár dní od přijetí našeho balíčku, nezapomeňte řasokoule vysvobodit z dárkové krabičky a vložit je do vody!",https://cdn.shopify.com/s/files/1/2581/0526/products/2-spIyAw_5eb06e39-4cb6-4203-b8e2-a4e1ccea7b83.jpg?v=1646651972,2-spIyAw_5eb06e39-4cb6-4203-b8e2-a4e1ccea7b83.jpg
